date,open,high,low,close,movement
2020-08-20,105.669,106.069,105.453,105.665,up
2020-08-23,105.903,105.939,105.69,105.877,up
2020-08-24,105.992,106.564,105.881,105.993,up
2020-08-25,106.422,106.551,106.063,106.405,down
2020-08-26,105.871,106.552,105.623,105.856,up
2020-08-27,106.659,106.938,105.203,106.637,down
2020-08-30,105.524,106.081,105.307,105.535,up
2020-08-31,105.99,106.136,105.599,106.004,down
2020-09-01,105.864,106.297,105.864,105.896,up
2020-09-02,106.201,106.536,106.043,106.208,down
2020-09-03,106.091,106.495,106.091,106.086,up
2020-09-06,106.292,106.371,106.135,106.311,down
2020-09-07,106.294,106.378,105.9,106.305,down
2020-09-08,105.96,106.256,105.813,105.968,up
2020-09-09,106.238,106.283,105.988,106.231,down
2020-09-10,106.145,106.244,106.08,106.143,down
2020-09-13,106.127,106.163,105.552,106.145,down
2020-09-14,105.744,105.815,105.3,105.715,down
2020-09-15,105.381,105.396,104.808,105.381,down
2020-09-16,105.049,105.164,104.524,105.062,down
2020-09-17,104.689,104.859,104.273,104.698,down
2020-09-20,104.534,104.762,104.008,104.537,up
2020-09-21,104.719,105.066,104.411,104.69,up
2020-09-22,105.069,105.373,104.91,105.034,up
2020-09-23,105.325,105.52,105.215,105.304,up
2020-09-24,105.436,105.698,105.247,105.435,up
2020-09-27,105.584,105.659,105.264,105.574,down
2020-09-28,105.439,105.722,105.348,105.433,up
2020-09-29,105.664,105.796,105.409,105.664,down
2020-09-30,105.449,105.722,105.418,105.451,up
2020-10-01,105.564,105.665,104.962,105.543,down
2020-10-04,105.535,105.753,105.41,105.51,up
2020-10-05,105.725,105.738,105.51,105.707,down
2020-10-06,105.638,106.105,105.627,105.64,up
2020-10-07,105.973,106.083,105.923,105.965,up
2020-10-08,106.021,106.021,105.608,106.018,down
2020-10-11,105.638,105.651,105.244,105.632,down
2020-10-12,105.348,105.626,105.288,105.339,up
2020-10-13,105.474,105.511,105.038,105.47,down
2020-10-14,105.139,105.388,105.112,105.139,up
2020-10-15,105.355,105.437,105.19,105.36,up
2020-10-18,105.438,105.497,105.305,105.427,up
2020-10-19,105.47,105.745,105.47,105.47,up
2020-10-20,105.475,105.475,104.35,105.477,down
2020-10-21,104.651,104.88,104.46,104.676,up
2020-10-22,104.907,104.907,104.55,104.921,down
2020-10-25,104.707,105.039,104.649,104.683,up
2020-10-26,104.806,104.83,104.393,104.832,down
2020-10-27,104.541,104.542,104.115,104.545,down
2020-10-28,104.319,104.702,104.03,104.315,up
2020-10-29,104.558,104.721,104.139,104.554,up
2020-11-01,104.612,104.943,104.612,104.58,up
2020-11-02,104.724,104.801,104.437,104.725,down
2020-11-03,104.506,105.341,104.161,104.546,down
2020-11-04,104.436,104.45,103.574,104.438,down
2020-11-05,103.596,103.758,103.184,103.603,down
2020-11-08,103.24,105.636,103.24,103.253,up
2020-11-09,105.162,105.478,104.822,105.137,up
2020-11-10,105.263,105.66,105.012,105.26,up
2020-11-11,105.424,105.471,105.103,105.415,down
2020-11-12,105.085,105.145,104.611,105.09,down
2020-11-15,104.666,105.095,104.365,104.676,down
2020-11-16,104.495,104.564,104.074,104.541,down
2020-11-17,104.153,104.153,103.664,104.181,down
2020-11-18,103.904,104.204,103.719,103.894,down
2020-11-19,103.793,103.905,103.706,103.825,down
2020-11-22,103.824,104.624,103.687,103.817,up
2020-11-23,104.557,104.745,104.149,104.525,down
2020-11-24,104.506,104.585,104.268,104.513,down
2020-11-25,104.379,104.392,104.226,104.4,down
2020-11-26,104.264,104.267,103.907,104.242,down
2020-11-29,104.101,104.384,103.83,104.082,up
2020-11-30,104.301,104.573,104.186,104.299,down
2020-12-01,104.289,104.747,104.225,104.309,up
2020-12-02,104.456,104.533,103.675,104.458,down
2020-12-03,103.824,104.242,103.738,103.823,up
2020-12-06,104.201,104.31,103.924,104.198,down
2020-12-07,104.008,104.192,103.96,103.998,up
2020-12-08,104.133,104.301,104.053,104.135,up
2020-12-09,104.287,104.574,104.232,104.272,down
2020-12-10,104.168,104.168,103.826,104.182,down
2020-12-13,103.962,104.083,103.514,103.939,up
2020-12-14,104.012,104.147,103.681,104.01,down
2020-12-15,103.651,103.71,103.262,103.634,down
2020-12-16,103.464,103.549,102.894,103.475,down
2020-12-17,103.149,103.59,103.129,103.131,up
2020-12-20,103.473,103.885,103.257,103.457,down
2020-12-21,103.337,103.722,103.279,103.34,up
2020-12-22,103.527,103.635,103.363,103.534,down
2020-12-23,103.525,103.756,103.5,103.552,up
2020-12-24,103.621,103.655,103.214,103.653,down
2020-12-27,103.526,103.894,103.4,103.533,up
2020-12-28,103.691,103.791,103.466,103.689,down
2020-12-29,103.552,103.57,102.963,103.559,down
2020-12-30,103.134,103.279,103.003,103.121,up
2020-12-31,103.226,103.25,103.226,103.226,up
2021-01-03,103.244,103.244,102.71,103.239,down
2021-01-04,103.142,103.18,102.672,103.125,down
2021-01-05,102.7,103.431,102.59,102.678,up
2021-01-06,103.028,103.951,102.956,103.024,up
2021-01-07,103.795,104.078,103.617,103.79,up
2021-01-10,104.073,104.389,104.037,104.091,up
2021-01-11,104.132,104.319,104.09,104.128,down
2021-01-12,103.748,103.988,103.54,103.752,up
2021-01-13,103.845,104.188,103.642,103.837,down
2021-01-14,103.837,103.885,103.62,103.828,up
2021-01-17,103.912,103.923,103.639,103.908,down
2021-01-18,103.696,104.082,103.65,103.703,up
2021-01-19,103.898,103.918,103.463,103.897,down
2021-01-20,103.557,103.659,103.326,103.555,down
2021-01-21,103.512,103.882,103.495,103.506,up
2021-01-24,103.787,103.931,103.677,103.777,down
2021-01-25,103.762,103.827,103.555,103.76,down
2021-01-26,103.603,104.168,103.593,103.603,up
2021-01-27,104.136,104.452,104.136,104.143,up
2021-01-28,104.312,104.935,104.289,104.291,up
2021-01-31,104.719,104.99,104.624,104.686,up
2021-02-01,104.878,105.162,104.823,104.881,up
2021-02-02,105.022,105.097,104.924,105.028,down
2021-02-03,104.995,105.491,104.973,104.995,up
2021-02-04,105.568,105.763,105.331,105.572,down
2021-02-07,105.397,105.666,105.158,105.4,down
2021-02-08,105.227,105.227,104.512,105.21,down
2021-02-09,104.582,104.837,104.418,104.575,up
2021-02-10,104.619,104.78,104.552,104.615,up
2021-02-11,104.755,105.17,104.72,104.741,up
2021-02-14,105.061,105.405,104.983,105.059,up
2021-02-15,105.385,105.868,105.199,105.387,up
2021-02-16,106.129,106.205,105.82,106.103,down
2021-02-17,105.856,105.918,105.599,105.861,down
